seed,adapt_regime,adapt_x,adapt_y,adapt_allzero_rate,probe_id,probe_x,probe_y,input_overlap,hidden_overlap,initial_default_rate,initial_p0,routing_at_risk,init_success,routing_collapse_step,behavior_collapse_step,final_default_rate,final_p0,final_success
4120,T5,7.0,5.0,0.7142857142857143,0,2.0,2.0,-0.7541429400444031,0.4513495862483978,1.0,0.9927182197570801,0,1.0,nan,301,1.0,0.9999988675117493,1.0
4120,T5,7.0,5.0,0.7142857142857143,1,3.0,2.0,-0.13209068775177002,0.5476973056793213,0.14,0.16141006350517273,1,0.0,20,301,1.0,0.9999998211860657,0.0
4120,T5,7.0,5.0,0.7142857142857143,2,5.0,2.0,0.42868322134017944,0.7455291152000427,0.0,0.0026520169340074062,1,0.0,20,301,1.0,0.9999998211860657,0.0
4120,T5,7.0,5.0,0.7142857142857143,3,7.0,2.0,0.042550425976514816,0.7643923163414001,0.0625,0.06554020196199417,1,1.0,40,40,1.0,0.9999999403953552,0.0
4120,T5,7.0,5.0,0.7142857142857143,4,8.0,2.0,0.6567102670669556,0.8799110651016235,0.0,1.0469693556558468e-08,1,1.0,60,60,1.0,0.999991238117218,0.0
4120,T5,7.0,5.0,0.7142857142857143,5,2.0,3.5,-0.8664986491203308,0.44901883602142334,0.5555555555555556,0.5242245197296143,0,1.0,nan,301,1.0,0.9997491836547852,1.0
4120,T5,7.0,5.0,0.7142857142857143,6,4.0,3.5,0.39794281125068665,0.7346420884132385,0.04,0.047426629811525345,1,0.0,20,301,1.0,0.9999998211860657,1.0
4120,T5,7.0,5.0,0.7142857142857143,7,6.0,3.5,0.36845096945762634,0.8151324391365051,0.0,8.972374780569226e-05,1,1.0,40,60,1.0,0.9999999403953552,0.0
4120,T5,7.0,5.0,0.7142857142857143,8,8.0,3.5,0.9935252070426941,0.9887123703956604,0.0,2.1236841973859555e-07,1,1.0,40,30,1.0,1.0,0.0
4120,T5,7.0,5.0,0.7142857142857143,9,2.799999952316284,2.799999952316284,-0.7541428804397583,0.4619412422180176,1.0,0.9898666143417358,0,1.0,nan,301,1.0,0.9999983906745911,1.0
4120,T5,7.0,5.0,0.7142857142857143,10,4.599999904632568,4.599999904632568,-0.7541429400444031,0.4860987067222595,1.0,0.9745230674743652,0,1.0,nan,301,1.0,0.9999953508377075,1.0
4120,T5,7.0,5.0,0.7142857142857143,11,2.0,5.0,-0.997623860836029,0.4331797957420349,0.0,0.00045615003909915686,1,0.0,80,301,1.0,0.9601945281028748,1.0
4120,T5,7.0,5.0,0.7142857142857143,12,4.0,5.0,-0.997623860836029,0.4578021764755249,0.0,1.1248290320509113e-05,1,1.0,100,301,1.0,0.6269257664680481,1.0
4120,T5,7.0,5.0,0.7142857142857143,13,6.0,5.0,0.9929418563842773,0.9962210655212402,0.0,4.398035343911033e-06,1,1.0,30,30,1.0,1.0,0.0
4120,T5,7.0,5.0,0.7142857142857143,14,8.0,5.0,0.9951404333114624,0.9978310465812683,0.0,2.4694747935427586e-06,1,1.0,30,20,1.0,1.0,0.0
4120,T5,7.0,5.0,0.7142857142857143,15,2.0,6.5,-0.803911030292511,0.4348173439502716,0.0,2.678278008261259e-07,1,1.0,301,301,0.0,0.00715482234954834,1.0
4120,T5,7.0,5.0,0.7142857142857143,16,4.0,6.5,0.5355651378631592,0.7249873876571655,0.0,9.01687769783166e-07,1,0.0,80,301,0.9,0.8636536598205566,1.0
4120,T5,7.0,5.0,0.7142857142857143,17,6.0,6.5,0.5174201130867004,0.7941118478775024,0.0,3.6127335789615245e-08,1,1.0,80,40,0.8333333333333334,0.8364334106445312,0.0
4120,T5,7.0,5.0,0.7142857142857143,18,8.0,6.5,0.9918842911720276,0.9882649183273315,0.0,1.2966445694928552e-07,1,1.0,40,30,1.0,0.9999995231628418,0.0
4120,T5,7.0,5.0,0.7142857142857143,19,2.0,8.0,-0.6567102670669556,0.4257160723209381,0.0,9.476288503895702e-11,1,1.0,301,301,0.0,1.5008683931228006e-06,1.0
4120,T5,7.0,5.0,0.7142857142857143,20,3.5,8.0,0.17323173582553864,0.6016935706138611,0.0,1.2759296730280312e-08,1,0.0,301,301,0.0,0.05346065014600754,0.0
4120,T5,7.0,5.0,0.7142857142857143,21,5.0,8.0,0.5488054156303406,0.7329578995704651,0.0,4.47303420969547e-07,1,0.0,80,301,0.96,0.9054105877876282,0.0
4120,T5,7.0,5.0,0.7142857142857143,22,6.5,8.0,0.3473394811153412,0.7265505194664001,0.0,2.07335637547601e-09,1,0.0,301,301,0.36,0.27768033742904663,0.0
4120,T5,7.0,5.0,0.7142857142857143,23,8.0,8.0,0.7541429400444031,0.8671603798866272,0.0,8.192737510626102e-08,1,1.0,60,40,1.0,0.9988986253738403,0.0
4120,T6,5.0,3.0,1.0,0,2.0,2.0,0.4807317554950714,0.8299416899681091,1.0,0.9927182197570801,0,1.0,nan,301,1.0,1.0,1.0
4120,T6,5.0,3.0,1.0,1,3.0,2.0,0.940248429775238,0.9365247488021851,0.14,0.16141006350517273,1,0.0,10,301,1.0,1.0,0.0
4120,T6,5.0,3.0,1.0,2,5.0,2.0,0.9741032719612122,0.9897243976593018,0.0,0.0026520169340074062,1,0.0,20,301,1.0,1.0,0.0
4120,T6,5.0,3.0,1.0,3,7.0,2.0,0.9851765632629395,0.9883779883384705,0.0625,0.06554020196199417,1,1.0,30,40,1.0,1.0,0.0
4120,T6,5.0,3.0,1.0,4,8.0,2.0,0.8768677115440369,0.9182222485542297,0.0,1.0469693556558468e-08,1,1.0,60,60,1.0,0.9999098777770996,0.0
4120,T6,5.0,3.0,1.0,5,2.0,3.5,0.3028601109981537,0.7885279655456543,0.5555555555555556,0.5242245197296143,0,1.0,nan,301,1.0,0.9999926090240479,1.0
4120,T6,5.0,3.0,1.0,6,4.0,3.5,0.9811803698539734,0.990550696849823,0.04,0.047426629811525345,1,0.0,20,301,1.0,1.0,1.0
4120,T6,5.0,3.0,1.0,7,6.0,3.5,0.9868448376655579,0.9844452142715454,0.0,8.972374780569226e-05,1,1.0,30,60,1.0,1.0,0.0
4120,T6,5.0,3.0,1.0,8,8.0,3.5,0.322923481464386,0.786424458026886,0.0,2.1236841973859555e-07,1,1.0,60,60,1.0,0.9523155093193054,0.0
4120,T6,5.0,3.0,1.0,9,2.799999952316284,2.799999952316284,0.480731725692749,0.8299985527992249,1.0,0.9898666143417358,0,1.0,nan,301,1.0,1.0,1.0
4120,T6,5.0,3.0,1.0,10,4.599999904632568,4.599999904632568,0.4807317554950714,0.8284231424331665,1.0,0.9745230674743652,0,1.0,nan,301,1.0,1.0,1.0
4120,T6,5.0,3.0,1.0,11,2.0,5.0,-0.2801103889942169,0.6659291982650757,0.0,0.00045615003909915686,1,0.0,60,301,1.0,0.9343637824058533,0.0
4120,T6,5.0,3.0,1.0,12,4.0,5.0,-0.2801103889942169,0.6597978472709656,0.0,1.1248290320509113e-05,1,1.0,80,301,1.0,0.698217511177063,1.0
4120,T6,5.0,3.0,1.0,13,6.0,5.0,0.09592914581298828,0.7025944590568542,0.0,4.398035343911033e-06,1,1.0,40,40,1.0,0.944176971912384,0.0
